output_type,biosample_group,track_count
CAGE,skeletal muscle satellite cell,2
CAGE,skeletal muscle tissue,2
CAGE,skin fibroblast,2
CAGE,skin of palm of manus,2
CAGE,small intestine,2
CAGE,smooth muscle cell of bladder,2
CAGE,smooth muscle cell of colon,2
CAGE,smooth muscle cell of prostate,2
CAGE,smooth muscle cell of the brachiocephalic vasculature,2
CAGE,smooth muscle cell of the brain vasculature,2
CAGE,smooth muscle cell of the carotid artery,2
CAGE,smooth muscle cell of the coronary artery,2
CAGE,smooth muscle cell of the esophagus,2
CAGE,smooth muscle cell of the internal thoracic artery,2
CAGE,smooth muscle cell of the pulmonary artery,2
CAGE,smooth muscle cell of the subclavian artery,2
CAGE,smooth muscle cell of the umbilical artery,2
CAGE,smooth muscle cell of the umbilical vein,2
CAGE,smooth muscle cell of trachea,2
CAGE,smooth muscle tissue,2
CAGE,soleus muscle,2
CAGE,spinal cord,2
CAGE,spleen,2
CAGE,stem cell of epidermis,2
CAGE,stomach,2
CAGE,stromal cell of pancreas,2
CAGE,subcutaneous fat cell,2
CAGE,subcutaneous preadipocyte,2
CAGE,submandibular gland,2
CAGE,substantia nigra,2
CAGE,superior rectus extraocular muscle,2
CAGE,synovial cell,2
CAGE,temporal lobe,2
CAGE,tendon cell,2
CAGE,testis,2
CAGE,thoracic aorta endothelial cell,2
CAGE,throat,2
CAGE,thymus,2
CAGE,thyroid gland,2
CAGE,tongue,2
CAGE,tonsil,2
CAGE,trabecular meshwork cell,2
CAGE,trachea,2
CAGE,tracheal epithelial cell,2
CAGE,tricuspid valve,2
CAGE,umbilical cord,2
CAGE,umbilical cord blood,2
CAGE,urethra,2
CAGE,urinary bladder,2
CAGE,urothelial cell,2
CAGE,uterine cervix,2
CAGE,uterine smooth muscle cell,2
CAGE,uterus,2
CAGE,vagina,2
CAGE,vas deferens,2
CAGE,vein,2
CAGE,vein endothelial cell,2
CAGE,vermiform appendix,2
CAGE,vertebral mesenchymal stem cell,2
CAGE,visceral preadipocyte,2
CAGE,vitreous humor,2
CAGE,zone of skin,2
